description_en,description_es,description_fr
"Executive Secretaries and Executive Administrative Assistants","Secretarias Ejecutivas y Asistentes Administrativos Ejecutivos ","Secrétaires exécutifs et exécutifs adjoints administratifs"
"First-Line Supervisors of Mechanics, Installers, and Repairers","Supervisores de primera línea de mecánicos, instaladores y reparadores ","Superviseurs de première ligne de la Mécanique, installateurs, réparateurs et"
"First-Line Supervisors of Housekeeping and Janitorial Workers","Supervisores de primera línea de limpieza y trabajadores de la limpieza ","Superviseurs de première ligne de ménage et les travailleurs de conciergerie"
"Financial Managers","Gerentes de servicios financieros ","Directeurs financiers"
"Quality Control Systems Managers","Los administradores de sistemas de control de calidad ","Systèmes de contrôle de la qualité gestionnaires"
"Sales Agent","Agente de Ventas ","Agente des Ventes"
"Marketing Agent","Agente de  Marketing ","Agent de Marketing"
"Economics Teachers, Postsecondary","Economía profesores, enseñanza de nivel superior ","Professeurs d'économie, d'études postsecondaires"
"Kindergarten Teachers, Except Special Education","Los maestros de kindergarten, Excepto Educación Especial ","Enseignants de maternelle, sauf l'éducation spéciale"
"Graphic Designers","Diseñadores Gráficos ","Graphistes"
"Rig Electrician","Electricista de plataforma petrolera","Electricien d'installation de forage"
"Rig Mechanic","Mecánico de plataforma petrolera","Mécanicien de gréements"
"Supply Chain Management","Gestion de la cadena de suministro","Gestion de la chaine d'approvisionnement"
"Crane Operator","Operador de grúa","Opérateur de grue"
"Electricial Technician","Técnico electricial","Technicien en électricité"
"Instrumentation Technician","Técnico de instrumentación","Technicien en instrumentation"
"Mechanical Technician","Tecnico mecanico","Technicien mécanique"
"Enviromental, Safety & Training","Ambiente, Seguridad y Entrenamiento","Environnement, Sécurité & Formation"
"HSE Manager/ Advisor","Gerente / Asesor HSE","Responsable/Conseiller HSE"
"Business Development","Desarrollo de negocios","Développement des activités"
"IT- Networking & Telecom","Redes y Telecomunicación - Informática","Réseaux et Télécommunication-Informatique"
"IS- SAP/ ERP","IS- SAP/ ERP","IS- SAP/ ERP"
"Secretarial or Administrative","Secretaría o Administración","Secrétariat ou administration"
"Offshore Production Operator","Operador de Producción - Offshore","Opérateur de production -  offshore"
"Economic Assistant","Asistente economico","Assistant économique"
"Assistant Driller","Asistente Perforador","Asistant Foreur"
"Crane Operator"," Operador de grúa"," Grutier"
"Electronic Technician","Técnico electronico","Technicien électronique"
"Rig Doctor","Doctor de Plataforma Petrolífera","Docteur du Plate-forme Petroliere"
"Mechanical Supervisor","Supervisor mecánico","Superviseur mécanique"
"Market Analyst","Analista de mercados","Analyste de marché"