registered_address_city,registered_address_state,registered_address_country
Malaga,Andalusia,Spain
Abidjan,Abidjan,Ivory Coast
Hydreabad,Telangana,India
Kinshasa,La Gombe,Democratic Republic of the Congo
Libreville,Estuaire Province,Gabon
Cergy,ÃŽle-de-France,France
Vishakapatnam,Andhra Pradesh,India
Brazzaville,Brazzaville,Republic of the Congo
Bordeaux,Nouvelle-Aquitaine,France
Abuja,Federal Capital Territory,Nigeria
West Chicago,Illinois,United States
Amsterdam,North Holland,Netherlands
Irving,Texas,United States
Lagos,Lagos,Nigeria
Bangalore,Karnataka,India
Lubumbashi,Haut-Katanga Province,Democratic Republic of the Congo
Aberdeen,Aberdeen City,Scotland
dfdsfsdfdf,dfdsfsdfdf,dfdsfsdfdf