"id","credits","updated","app_id","entity_id"
1,0, 2018-12-08 11:47:54.284457+00 ,1,156
2,5, 2018-12-08 11:47:54.288027+00 ,2,156
3,0, 2018-12-10 09:55:59.69906+00  ,1,160
4,0, 2018-12-10 09:55:59.701382+00 ,2,160
5,0, 2018-12-10 11:49:26.283617+00 ,1,290
6,0, 2018-12-10 11:49:26.285617+00 ,2,290
7,0, 2018-12-10 13:08:16.900279+00 ,1,256
8,3, 2018-12-10 13:08:16.90246+00  ,2,256
9,0, 2018-12-13 13:37:11.205829+00 ,1,267
10,0, 2018-12-13 13:37:11.20787+00  ,2,267
11,0, 2018-12-19 10:01:49.573546+00 ,1,297
12,0, 2018-12-19 10:01:49.575989+00 ,2,297
13,0, 2018-12-19 10:34:40.514683+00 ,1,296
14,0, 2018-12-19 10:34:40.517087+00 ,2,296
15,0, 2018-12-27 09:55:44.336392+00 ,1,301
16,0, 2018-12-27 09:55:44.338663+00 ,2,301
17,2, 2018-12-27 17:09:17.517648+00 ,1,279
18,27, 2018-12-27 17:09:17.520363+00 ,2,279
19,0, 2019-01-03 10:03:58.267818+00 ,1,302
20,0, 2019-01-03 10:03:58.269777+00 ,2,302
21,0, 2019-01-10 14:37:28.95594+00  ,1,303
22,0, 2019-01-10 14:37:28.957971+00 ,2,303
23,0, 2019-01-14 08:23:27.806607+00 ,1,293
24,0, 2019-01-14 08:23:27.808967+00 ,2,293
25,0, 2019-01-17 16:05:59.277706+00 ,1,309
26,0, 2019-01-17 16:05:59.280056+00 ,2,309
27,0, 2019-01-18 13:33:14.620558+00 ,1,310
28,1, 2019-01-18 13:33:14.623345+00 ,2,310
29,0, 2019-01-22 22:19:11.015378+00 ,1,311
30,0, 2019-01-22 22:19:11.018758+00 ,2,311
31,0, 2019-02-01 15:00:23.775239+00 ,1,313
32,0, 2019-02-01 15:00:23.777612+00 ,2,313
33,0, 2019-02-05 23:16:20.070547+00 ,1,298
34,0, 2019-02-05 23:16:20.072799+00 ,2,298
35,0, 2019-02-06 14:15:23.098311+00 ,1,314
36,0, 2019-02-06 14:15:23.10036+00  ,2,314
37,0, 2019-02-19 11:50:51.612044+00 ,1,317
38,0, 2019-02-19 11:50:51.614645+00 ,2,317
39,0, 2019-02-20 11:35:08.31497+00  ,1,318
40,0, 2019-02-20 11:35:08.317104+00 ,2,318
41,0, 2019-02-22 10:55:21.21569+00  ,1,283
42,1, 2019-02-22 10:55:21.217791+00 ,2,283
43,0, 2019-02-22 13:47:06.39343+00  ,1,320
44,2, 2019-02-22 13:47:06.395658+00 ,2,320
45,0, 2019-02-25 11:02:02.566838+00 ,1,321
46,0, 2019-02-25 11:02:02.568945+00 ,2,321
47,0, 2019-02-28 02:32:28.768582+00 ,1,319
48,0, 2019-02-28 02:32:28.770755+00 ,2,319
49,0, 2019-03-06 12:20:05.240573+00 ,1,316
50,0, 2019-03-06 12:20:05.243023+00 ,2,316
51,0, 2019-03-07 10:05:07.461742+00 ,1,322
52,0, 2019-03-07 10:05:07.464037+00 ,2,322
53,1, 2019-03-29 09:30:47.058271+00 ,2,326
54,0, 2019-03-29 09:30:47.060706+00 ,1,326
55,0, 2019-03-29 09:34:49.64091+00  ,2,327
56,0, 2019-03-29 09:34:49.64296+00  ,1,327
57,0, 2019-03-29 09:35:14.708228+00 ,2,328
58,0, 2019-03-29 09:35:14.710164+00 ,1,328
59,0, 2019-03-29 23:13:22.867356+00 ,2,325
60,0, 2019-03-29 23:13:22.869655+00 ,1,325
61,0, 2019-04-01 11:05:28.945196+00 ,2,331
62,0, 2019-04-01 11:05:28.947511+00 ,1,331
63,1, 2019-04-11 12:50:07.454352+00 ,2,285
64,0, 2019-04-11 12:50:07.456438+00 ,1,285
65,0, 2019-04-12 17:09:01.85782+00  ,2,337
66,0, 2019-04-12 17:09:01.860048+00 ,1,337
69,0, 2019-04-30 10:44:01.396705+00 ,2,344
70,0, 2019-04-30 10:44:01.399009+00 ,1,344
71,0, 2019-05-16 07:55:18.226699+00 ,2,8
72,0, 2019-05-16 07:55:18.229141+00 ,1,8
73,0, 2019-05-17 19:18:09.917464+00 ,2,236
74,4, 2019-05-17 19:18:09.919596+00 ,1,236
75,0, 2019-05-18 11:32:23.145594+00 ,2,133
76,0, 2019-05-18 11:32:23.147746+00 ,1,133
77,0, 2019-05-20 16:13:46.712735+00 ,2,357
78,0, 2019-05-20 16:13:46.714936+00 ,1,357
79,0, 2019-06-04 07:59:28.106157+00 ,2,359
80,0, 2019-06-04 07:59:28.108266+00 ,1,359
81,0, 2019-06-14 14:03:39.048222+00 ,2,56
82,0, 2019-06-14 14:03:39.050268+00 ,1,56
83,0, 2019-06-20 19:45:52.701477+00 ,2,366
84,0, 2019-06-20 19:45:52.703574+00 ,1,366
85,0, 2019-06-20 19:46:39.493855+00 ,2,365
86,0, 2019-06-20 19:46:39.49603+00  ,1,365
87,0, 2019-06-21 15:05:37.090112+00 ,2,369
88,0, 2019-06-21 15:05:37.092463+00 ,1,369
89,0, 2019-06-21 15:06:53.744329+00 ,2,370
90,0, 2019-06-21 15:06:53.746414+00 ,1,370
91,8, 2019-06-24 12:04:25.186588+00 ,2,371
92,0, 2019-06-24 12:04:25.188958+00 ,1,371
93,0, 2019-06-27 20:50:33.153909+00 ,2,368
94,0, 2019-06-27 20:50:33.155948+00 ,1,368
95,0, 2019-07-04 13:00:01.30979+00  ,2,374
96,0, 2019-07-04 13:00:01.31181+00  ,1,374
97,0, 2019-07-05 21:32:24.614676+00 ,2,33
98,0, 2019-07-05 21:32:24.617148+00 ,1,33
99,0, 2019-07-17 18:57:41.838731+00 ,2,376
100,0, 2019-07-17 18:57:41.840909+00 ,1,376
101,0, 2019-07-27 11:43:39.023744+00 ,2,379
102,0, 2019-07-27 11:43:39.028739+00 ,1,379
103,3, 2019-07-28 15:26:43.535724+00 ,2,380
104,0, 2019-07-28 15:26:43.538003+00 ,1,380
105,0, 2019-07-30 17:38:52.537484+00 ,2,377
106,0, 2019-07-30 17:38:52.539962+00 ,1,377
107,0, 2019-07-31 11:06:45.967434+00 ,2,381
108,0, 2019-07-31 11:06:45.969654+00 ,1,381
109,0, 2019-07-31 16:44:22.632299+00 ,2,338
110,5, 2019-07-31 16:48:26.150951+00 ,1,338
111,4, 2019-08-05 13:53:46.513241+00 ,2,382
112,0, 2019-08-05 13:53:46.515983+00 ,1,382
113,0, 2019-08-05 16:16:05.599187+00 ,2,383
114,0, 2019-08-05 16:16:05.601422+00 ,1,383
115,4, 2019-08-05 17:37:05.919602+00 ,2,384
116,0, 2019-08-05 17:37:05.923846+00 ,1,384
117,1, 2019-08-06 16:21:45.052778+00 ,2,386
118,0, 2019-08-06 16:21:45.055245+00 ,1,386
119,3, 2019-08-07 10:43:12.338692+00 ,2,387
120,0, 2019-08-07 10:43:12.340758+00 ,1,387
121,4, 2019-08-07 10:55:48.434327+00 ,2,388
122,0, 2019-08-07 10:55:48.436543+00 ,1,388
123,0, 2019-08-09 11:12:00.872871+00 ,2,389
124,0, 2019-08-09 11:12:00.876101+00 ,1,389
125,9, 2019-08-09 12:14:24.743652+00 ,2,390
126,0, 2019-08-09 12:14:24.745846+00 ,1,390
127,4, 2019-08-09 14:50:41.538725+00 ,2,391
128,0, 2019-08-09 14:50:41.540936+00 ,1,391
129,4, 2019-08-12 10:14:57.633554+00 ,2,392
130,0, 2019-08-12 10:14:57.636034+00 ,1,392
131,4, 2019-08-13 11:29:45.432541+00 ,2,393
132,0, 2019-08-13 11:29:45.434593+00 ,1,393
133,4, 2019-08-14 15:26:35.235758+00 ,2,394
134,0, 2019-08-14 15:26:35.237994+00 ,1,394
135,4, 2019-08-14 16:34:35.069183+00 ,2,395
136,0, 2019-08-14 16:34:35.071561+00 ,1,395
137,0, 2019-08-16 13:17:19.914439+00 ,2,397
138,0, 2019-08-16 13:17:19.916678+00 ,1,397
